"","Year","Vessel.Type"
"1",2012,"TANKER"
"2",2012,"Other"
"3",2012,"Other"
"4",2012,"TANKER"
"5",2012,"TANKER"
"6",2012,"CARGO"
"7",2012,"BULK CARRIER"
"8",2012,"CONTAINER SHIP"
"9",2012,"BULK CARRIER"
"10",2012,"TANKER"
"11",2012,"TANKER"
"12",2012,"TANKER"
"13",2012,"CONTAINER SHIP"
"14",2012,"TANKER"
"15",2012,"TANKER"
"16",2012,"TANKER"
"17",2012,"TANKER"
"18",2012,"TANKER"
"19",2012,"BARGE"
"20",2012,"TANKER"
"21",2012,"TANKER"
"22",2012,"TANKER"
"23",2012,"TANKER"
"24",2012,"BULK CARRIER"
"25",2012,"BULK CARRIER"
"26",2012,"BULK CARRIER"
"27",2012,"CONTAINER SHIP"
"28",2012,"Other"
"29",2012,"BARGE"
"30",2012,"CONTAINER SHIP"
"31",2012,"CONTAINER SHIP"
"32",2012,"FISHING"
"33",2012,"FISHING"
"34",2012,"TANKER"
"35",2012,"Other"
"36",2012,"Other"
"37",2012,"Other"
"38",2012,"Other"
"39",2012,"BULK CARRIER"
"40",2012,"CARGO"
"41",2012,"CARGO"
"42",2012,"Other"
"43",2012,"FISHING"
"44",2012,"TANKER"
"45",2012,"BULK CARRIER"
"46",2012,"FISHING"
"47",2012,"MERCHANT"
"48",2012,"Other"
"49",2012,"MERCHANT"
"50",2012,"CONTAINER SHIP"
"51",2012,"TANKER"
"52",2012,"BULK CARRIER"
"53",2012,"TANKER"
"54",2012,"TANKER"
"55",2012,"TANKER"
"56",2012,"Other"
"57",2012,"Other"
"58",2012,"MERCHANT"
"59",2012,"BULK CARRIER"
"60",2012,"TANKER"
"61",2012,"TANKER"
"62",2012,"TANKER"
"63",2012,"BULK CARRIER"
"64",2012,"CARGO"
"65",2012,"CARGO"
"66",2012,"BULK CARRIER"
"67",2012,"TANKER"
"68",2012,"TANKER"
"69",2012,"CARGO"
"70",2012,"TANKER"
"71",2012,"TANKER"
"72",2012,"TRAWLER"
"73",2012,"CONTAINER SHIP"
"74",2012,"YACHT"
"75",2012,"TANKER"
"76",2012,"TANKER"
"77",2012,"Other"
"78",2012,"CONTAINER SHIP"
"79",2012,"BULK CARRIER"
"80",2012,"TANKER"
"81",2012,"MERCHANT"
"82",2012,"BULK CARRIER"
"83",2012,"BULK CARRIER"
"84",2012,"MERCHANT"
"85",2012,"TANKER"
"86",2012,"Other"
"87",2012,"CARGO"
"88",2012,"TANKER"
"89",2012,"TANKER"
"90",2012,"TANKER"
"91",2012,"Other"
"92",2012,"TANKER"
"93",2012,"TANKER"
"94",2012,"MERCHANT"
"95",2012,"TANKER"
"96",2012,"TANKER"
"97",2012,"TANKER"
"98",2012,"BULK CARRIER"
"99",2012,"CARGO"
"100",2012,"Other"
"101",2012,"TANKER"
"102",2012,"TANKER"
"103",2012,"BULK CARRIER"
"104",2012,"TANKER"
"105",2012,"BULK CARRIER"
"106",2012,"BULK CARRIER"
"107",2013,"TANKER"
"108",2013,"TANKER"
"109",2013,"CARGO"
"110",2013,"CARGO"
"111",2013,"TANKER"
"112",2013,"SS/USS"
"113",2013,"TANKER"
"114",2013,"BARGE"
"115",2013,"TANKER"
"116",2013,"TANKER"
"117",2013,"TANKER"
"118",2013,"TANKER"
"119",2013,"TANKER"
"120",2013,"BULK CARRIER"
"121",2013,"CONTAINER SHIP"
"122",2013,"BULK CARRIER"
"123",2013,"TANKER"
"124",2013,"Other"
"125",2013,"TANKER"
"126",2013,"CONTAINER SHIP"
"127",2013,"TANKER"
"128",2013,"CARGO"
"129",2013,"MERCHANT"
"130",2013,"TANKER"
"131",2013,"TANKER"
"132",2013,"SS/USS"
"133",2013,"MERCHANT"
"134",2013,"TANKER"
"135",2013,"CARGO"
"136",2013,"CARGO"
"137",2013,"TANKER"
"138",2013,"TANKER"
"139",2013,"BULK CARRIER"
"140",2013,"CARGO"
"141",2013,"TANKER"
"142",2013,"CONTAINER SHIP"
"143",2013,"TANKER"
"144",2013,"Other"
"145",2013,"BULK CARRIER"
"146",2013,"BULK CARRIER"
"147",2013,"TANKER"
"148",2013,"CONTAINER SHIP"
"149",2013,"TANKER"
"150",2013,"TANKER"
"151",2013,"BULK CARRIER"
"152",2013,"CARGO"
"153",2013,"CARGO"
"154",2013,"CARGO"
"155",2013,"BULK CARRIER"
"156",2013,"Other"
"157",2013,"TANKER"
"158",2013,"TANKER"
"159",2013,"TANKER"
"160",2013,"Other"
"161",2013,"TANKER"
"162",2013,"BULK CARRIER"
"163",2013,"Other"
"164",2013,"FISHING"
"165",2013,"BULK CARRIER"
"166",2013,"SS/USS"
"167",2013,"BULK CARRIER"
"168",2013,"CONTAINER SHIP"
"169",2013,"BULK CARRIER"
"170",2013,"TANKER"
"171",2013,"TRAWLER"
"172",2013,"CARGO"
"173",2013,"CONTAINER SHIP"
"174",2013,"Other"
"175",2013,"CARGO"
"176",2013,"TANKER"
"177",2013,"TANKER"
"178",2013,"BULK CARRIER"
"179",2013,"BULK CARRIER"
"180",2013,"TANKER"
"181",2013,"BULK CARRIER"
"182",2013,"TANKER"
"183",2013,"TANKER"
"184",2013,"BULK CARRIER"
"185",2013,"SS/USS"
"186",2013,"TANKER"
"187",2013,"Other"
"188",2013,"Other"
"189",2013,"TRAWLER"
"190",2013,"CARGO"
"191",2013,"SS/USS"
"192",2013,"BARGE"
"193",2013,"TANKER"
"194",2013,"CONTAINER SHIP"
"195",2013,"CONTAINER SHIP"
"196",2013,"CONTAINER SHIP"
"197",2013,"SS/USS"
"198",2013,"CARGO"
"199",2013,"Other"
"200",2013,"TANKER"
"201",2013,"Other"
"202",2013,"TANKER"
"203",2013,"Other"
"204",2013,"CARGO"
"205",2013,"CONTAINER SHIP"
"206",2013,"TANKER"
"207",2013,"TANKER"
"208",2013,"CARGO"
"209",2013,"BULK CARRIER"
"210",2013,"CARGO"
"211",2013,"TANKER"
"212",2013,"CARGO"
"213",2013,"CARGO"
"214",2013,"TANKER"
"215",2013,"BULK CARRIER"
"216",2013,"Other"
"217",2013,"TANKER"
"218",2013,"CARGO"
"219",2013,"BULK CARRIER"
"220",2013,"TANKER"
"221",2013,"TANKER"
"222",2013,"TANKER"
"223",2013,"TANKER"
"224",2013,"BULK CARRIER"
"225",2013,"CARGO"
"226",2013,"CARGO"
"227",2013,"BULK CARRIER"
"228",2013,"BULK CARRIER"
"229",2013,"Other"
"230",2013,"BULK CARRIER"
"231",2013,"TANKER"
"232",2013,"TANKER"
"233",2013,"BULK CARRIER"
"234",2013,"TANKER"
"235",2013,"TANKER"
"236",2013,"CONTAINER SHIP"
"237",2013,"CARGO"
"238",2013,"TANKER"
"239",2013,"CARGO"
"240",2013,"BULK CARRIER"
"241",2013,"TANKER"
"242",2013,"TANKER"
"243",2013,"CARGO"
"244",2013,"TANKER"
"245",2013,"TANKER"
"246",2013,"MERCHANT"
"247",2013,"Other"
"248",2013,"Other"
"249",2013,"BARGE"
"250",2013,"TANKER"
"251",2013,"BULK CARRIER"
"252",2013,"Other"
"253",2013,"BULK CARRIER"
"254",2013,"FISHING"
"255",2013,"SS/USS"
"256",2013,"MERCHANT"
"257",2013,"TANKER"
"258",2013,"FISHING"
"259",2013,"FISHING"
"260",2013,"BULK CARRIER"
"261",2013,"MERCHANT"
"262",2013,"FISHING"
"263",2013,"CONTAINER SHIP"
"264",2013,"TANKER"
"265",2013,"TANKER"
"266",2013,"TANKER"
"267",2013,"CONTAINER SHIP"
"268",2013,"CARGO"
"269",2013,"BULK CARRIER"
"270",2013,"FISHING"
"271",2013,"TANKER"
"272",2013,"FISHING"
"273",2013,"FISHING"
"274",2013,"MERCHANT"
"275",2013,"TANKER"
"276",2013,"MERCHANT"
"277",2013,"BULK CARRIER"
"278",2013,"CARGO"
"279",2013,"TANKER"
"280",2013,"SS/USS"
"281",2013,"CONTAINER SHIP"
"282",2013,"BULK CARRIER"
"283",2013,"TANKER"
"284",2013,"TANKER"
"285",2013,"TANKER"
"286",2013,"MERCHANT"
"287",2013,"TANKER"
"288",2013,"TANKER"
"289",2013,"Other"
"290",2013,"TANKER"
"291",2013,"BULK CARRIER"
"292",2013,"Other"
"293",2013,"Other"
"294",2013,"TANKER"
"295",2013,"Other"
"296",2013,"TANKER"
"297",2013,"Other"
"298",2013,"MERCHANT"
"299",2013,"Other"
